id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults,kfold,X_Range,Y_Range,Luminosity_Range,Area_Perimeter_Ratio
16336,1578,1592,2839568,2839625,359,32,48,31349,78,126,1696,0,1,90,0.049,0.3213,0.2903,0.0077,0.4063,1.0,1.0,2.5551,1.1139,1.6721,0.7097,-0.184,0.9349,1,0,0,0,0,0,0,1,14,57,48,4.4875
11135,41,216,1889165,1889228,6494,280,145,676077,40,124,1358,0,1,40,0.0604,0.4319,0.3714,0.1289,0.625,0.4545,0.0,3.8128,2.243,1.8129,-0.6286,-0.1808,1.0,0,0,1,0,0,0,0,4,175,63,84,15.28
15974,933,940,2702154,2702164,56,12,10,6651,92,132,1628,0,1,40,0.6143,0.2,0.8,0.0061,0.8333,1.0,1.0,1.7482,1.0,1.0,0.2,-0.1807,0.1852,0,0,0,0,0,1,0,0,7,10,40,2.5454545454545454
5692,1146,1162,518468,518483,137,38,17,23072,114,141,1358,0,1,175,0.6517,0.2717,0.5714,0.0118,0.4211,0.7647,0.0,2.1367,1.2041,1.1139,-0.4286,-0.0139,0.3197,0,0,0,0,0,0,1,0,16,15,27,2.4909090909090907
17593,1281,1289,5082496,5082524,206,20,28,24230,71,118,1353,0,1,70,0.1029,0.3571,0.4,0.0074,0.5,1.0,1.0,2.3263,1.0,1.4472,0.6,-0.258,0.463,1,0,0,0,0,0,0,2,8,28,47,4.291666666666667
1310,823,844,936743,936828,204,33,18,22478,85,133,1356,1,0,70,0.0354,0.7549,0.3846,0.028,0.6944,0.7308,0.0,2.3096,1.5798,1.1139,-0.6154,-0.1582,0.8355,0,0,0,0,0,0,1,3,21,85,48,4.0
16006,1531,1544,225718,225742,168,23,15,14234,86,111,1692,0,1,300,0.1684,0.4095,0.5714,0.0086,0.6087,0.9333,1.0,2.2253,1.1461,1.1461,0.4286,-0.1722,0.463,0,0,0,0,0,0,1,4,13,24,25,4.421052631578948
16592,17,28,735496,735528,204,24,24,21408,84,133,1360,0,1,50,0.0369,0.4722,0.3077,0.0066,0.4167,1.0,1.0,2.3096,0.9542,1.3802,0.6923,-0.1313,0.4979,0,0,0,0,0,1,0,4,11,32,49,4.25
16109,41,216,1935297,1935360,6662,274,130,684731,41,124,1358,0,1,40,0.0604,0.42,0.3869,0.1291,0.6387,0.5114,0.0,3.8236,2.243,1.8451,-0.6131,-0.1861,1.0,0,0,1,0,0,0,0,1,175,63,83,16.49009900990099
8059,39,194,4201928,4201948,12729,634,374,1482862,33,141,1402,0,1,40,0.0613,0.6009,0.8824,0.1129,0.2413,0.4492,1.0,4.1084,2.1987,2.1818,0.1177,-0.0971,1.0,0,0,1,0,0,0,0,0,155,20,108,12.62797619047619
926,13,29,745890,745905,566,55,56,60260,79,103,1354,0,1,70,0.0296,0.4975,0.2069,0.0081,0.3112,1.0,1.0,2.7738,1.0414,1.7404,0.7931,-0.3307,0.9964,0,0,0,0,1,0,0,3,16,15,24,5.099099099099099
11066,259,272,303225,303262,62,16,10,7716,118,143,1692,1,0,60,0.39,0.3769,0.5333,0.0095,0.875,0.7692,0.0,1.7924,1.2041,0.9031,-0.4667,0.0128,0.2195,0,0,0,0,0,1,0,0,13,37,25,2.3846153846153846
19195,1191,1202,1445992,1445996,16,8,10,1923,112,134,1358,0,1,50,0.2327,0.4571,1.0,0.0052,0.875,1.0,0.5,1.2041,0.8451,1.0,0.0,-0.0221,0.1307,0,0,0,1,0,0,0,2,11,4,22,0.8888888888888888
16916,63,92,55547,55568,505,37,33,63525,95,133,1356,1,0,70,0.0962,0.4155,0.3667,0.0148,0.2991,0.9394,1.0,2.7059,1.301,1.4771,0.6333,-0.1212,0.9774,0,1,0,0,0,0,0,3,29,21,38,7.214285714285714
2195,305,313,812031,812044,69,9,11,7774,105,132,1358,0,1,130,0.4136,0.3175,0.8182,0.0066,1.0,0.9091,1.0,1.8389,0.9542,1.0,0.1818,-0.0791,0.2061,0,0,0,0,0,1,0,4,8,13,27,3.45
8082,1325,1340,1005865,1005895,383,35,57,38206,75,118,1374,0,0,40,0.0325,0.3383,0.2069,0.0095,0.3714,1.0,1.0,2.5832,1.1139,1.6902,0.7931,-0.3131,0.9718,1,0,0,0,0,0,0,0,15,30,43,4.163043478260869
15672,41,212,2609514,2609580,5951,302,137,617708,43,124,1356,0,1,40,0.0605,0.4557,0.4167,0.1261,0.6337,0.4853,0.0,3.7746,2.233,1.8195,-0.5833,-0.1827,1.0,0,0,0,0,0,0,1,4,171,66,81,13.555808656036447
7710,1235,1241,142256,142260,17,6,4,2127,118,141,1358,0,1,50,0.1723,0.4667,0.8333,0.0044,0.5,1.0,0.0,1.2305,0.7782,0.6021,-0.1667,-0.0052,0.14,0,0,0,1,0,0,0,2,6,4,23,1.7
778,1126,1135,5492080,5492091,56,9,13,6557,104,121,1360,0,1,40,0.6426,0.3626,0.5385,0.0052,0.7778,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.1197,0.1965,0,0,0,0,0,0,1,4,9,11,17,2.5454545454545454
11573,897,925,4758137,4758179,539,81,36,67901,115,141,1358,1,0,100,0.8882,0.6234,0.5556,0.0209,0.4,0.5172,0.0,2.7324,1.7243,1.2553,-0.4444,0.0016,0.9537,0,1,0,0,0,0,0,2,28,42,26,4.6068376068376065
2161,1677,1688,899659,899665,261,30,24,25389,76,110,1666,1,0,40,0.0,0.5497,0.7143,0.0125,0.6,0.75,0.0,2.4166,1.3222,1.2553,-0.2857,-0.2744,0.7933,0,0,0,0,0,0,1,1,11,6,34,4.833333333333333
9904,777,788,1312199,1312217,137,19,18,16771,102,150,1360,1,0,69,0.966,0.3278,0.45,0.0066,0.4737,1.0,1.0,2.1367,0.9542,1.2553,0.55,-0.0111,0.3068,0,0,0,0,0,1,0,0,11,18,48,3.7027027027027026
15783,41,197,1168986,1170811,16759,754,480,1847464,27,142,1400,0,1,40,0.0557,0.4572,0.9167,0.1177,0.2342,0.3401,1.0,4.2101,2.1903,2.2253,0.0133,-0.0883,1.0,0,0,1,0,0,0,0,4,156,1825,115,13.581037277147487
10357,41,217,2787299,2787427,6596,310,145,699635,42,126,1358,0,1,40,0.0604,0.4639,0.4,0.1311,0.5742,0.4493,0.0,3.8122,2.2504,1.8325,-0.6,-0.1855,1.0,0,0,1,0,0,0,0,4,176,128,84,14.496703296703297
15493,1271,1301,603596,6042292,166,55,29,26563,118,148,1353,1,0,143,0.1162,0.563,0.2069,0.056,0.5571,0.5079,0.0,2.2201,1.8633,1.4472,-0.7931,0.0016,0.7933,0,0,0,0,0,0,1,1,30,5438696,30,1.9761904761904763
1067,0,14,104337,104353,114,17,19,11979,56,118,1687,1,0,80,0.0,0.2597,0.9286,0.0083,0.8235,1.0,1.0,2.0569,1.1461,1.1139,0.0714,-0.2601,0.3097,0,0,0,0,0,1,0,1,14,16,62,3.1666666666666665
5396,681,692,2070108,2070121,62,19,16,6819,102,126,1646,1,0,80,0.9765,0.4643,0.4286,0.0073,0.6316,0.875,1.0,1.7924,1.0792,1.1461,0.5714,-0.1187,0.2195,0,0,0,0,0,0,0,4,11,13,24,1.7714285714285714
14647,13,24,718602,718617,69,12,12,7391,107,126,1358,0,1,40,0.0455,0.4167,1.0,0.0051,0.5833,1.0,0.5,1.8389,0.8451,1.0792,0.0,-0.0852,0.2583,0,0,0,0,0,1,0,0,11,15,19,2.875
17889,39,209,707526,707593,6010,255,125,659881,39,126,1358,0,1,40,0.0574,0.4325,0.3886,0.1289,0.6898,0.536,0.0,3.7789,2.243,1.8325,-0.6114,-0.1865,1.0,0,0,1,0,0,0,0,2,170,67,87,15.81578947368421
6369,41,216,1878514,1878584,6519,263,143,674120,39,127,1358,0,1,40,0.0604,0.4527,0.3918,0.1303,0.6704,0.5461,0.0,3.8125,2.248,1.8261,-0.6082,-0.1902,1.0,0,0,1,0,0,0,0,1,175,70,88,16.05665024630542
12958,764,782,1439661,1439674,140,26,16,14132,104,134,1358,0,1,40,0.2472,0.5185,0.4444,0.0125,0.5454,0.625,0.0,2.1461,1.2305,1.0,-0.5556,-0.1159,0.3068,0,0,0,0,0,1,0,0,18,13,30,3.3333333333333335
17373,1245,1281,188073,188125,3786,110,55,389429,65,124,1360,0,1,40,0.1088,0.4636,0.6727,0.0219,0.3273,0.9818,1.0,3.5782,1.5682,1.7324,0.3273,-0.2663,1.0,0,0,0,0,0,0,1,3,36,52,59,22.945454545454545
8934,1111,1126,5921344,5921348,247,21,15,28955,100,127,1690,1,0,70,0.6426,0.2667,0.5333,0.0091,0.4286,1.0,1.0,2.3927,1.1761,1.1761,0.4667,-0.105,0.3882,0,0,0,0,0,1,0,0,15,4,27,6.861111111111111
16964,441,462,949136,949144,115,16,11,11759,102,151,1364,1,0,100,0.6465,0.3611,0.9286,0.0096,0.8125,1.0,0.0,2.0607,1.1139,1.0414,-0.0714,-0.0632,0.2914,0,0,0,0,0,1,0,4,21,8,49,4.2592592592592595
767,681,692,1736811,1736822,196,24,22,18986,84,124,1350,0,1,40,0.9004,0.4336,0.5909,0.0079,0.4583,1.0,1.0,2.2923,1.0414,1.3424,0.4091,-0.2395,0.4729,0,0,0,0,0,0,1,0,11,11,40,4.260869565217392
4434,731,736,2632520,2632529,68,12,9,6490,91,126,1658,1,0,100,0.8852,0.3571,0.6,0.006,0.8333,1.0,0.0,1.8325,1.0,0.9542,-0.4,-0.1188,0.1954,0,0,0,0,0,0,1,3,5,9,35,3.238095238095238
6911,39,216,2300567,2300643,6603,275,131,734568,39,124,1358,0,1,40,0.0574,0.4562,0.3829,0.1303,0.7085,0.5349,0.0,3.8229,2.248,1.8195,-0.6171,-0.1916,1.0,0,0,1,0,0,0,0,3,177,76,85,16.263546798029555
18084,41,211,2041748,2041815,6476,302,135,675748,42,126,1356,0,1,40,0.0605,0.4369,0.3543,0.1254,0.5742,0.4667,0.0,3.8113,2.2304,1.8261,-0.6457,-0.1762,1.0,0,0,1,0,0,0,0,3,170,67,84,14.819221967963387
14612,932,947,516427,516436,287,26,20,30746,105,133,1360,0,1,40,0.6446,0.6458,0.6,0.0147,0.8095,0.9,0.0,2.4579,1.301,1.2553,-0.4,-0.1153,0.8299,0,0,0,0,0,0,1,4,15,9,28,6.239130434782608
9423,1097,1124,518483,518470,127,9,15,14842,96,132,1690,1,0,60,0.4602,0.2222,0.3667,0.0041,0.7778,1.0,1.0,2.1072,0.8451,1.1761,0.6333,-0.1149,0.3509,1,0,0,0,0,0,0,1,27,-13,36,5.291666666666667
13970,1251,1256,3023370,3023381,51,11,8,5857,82,124,1688,1,0,60,0.5065,0.2778,0.8889,0.0059,0.9091,1.0,0.0,1.7076,1.0,0.9031,-0.1111,-0.1747,0.1773,0,0,0,0,0,0,1,1,5,11,42,2.6842105263157894
6663,967,977,11471964,114762,794,39,249,86424,97,134,1353,0,1,200,0.4421,0.3611,0.1136,0.0081,0.2414,0.9208,1.0,2.8733,1.0414,2.2765,0.8864,-0.093,0.9964,0,0,0,0,0,1,0,2,10,-11357202,37,2.7569444444444446
16917,561,561,2046172,2046183,12,5,4,1528,111,141,1360,0,1,50,0.8026,0.15,0.8,0.0037,1.0,1.0,0.0,1.0792,0.699,0.6021,-0.2,-0.0087,0.1322,0,0,0,1,0,0,0,0,0,11,30,1.3333333333333333
5607,1331,1336,594752,594771,16,7,5,2034,120,143,1358,0,1,175,0.4397,0.25,0.875,0.0052,1.0,1.0,0.0,1.2041,0.8451,0.699,-0.125,-0.0052,0.1384,0,0,0,0,0,0,1,4,5,19,23,1.3333333333333333
18367,39,214,2119822,2119881,6776,265,132,700391,40,124,1358,0,1,40,0.0574,0.4306,0.3886,0.1289,0.6604,0.5113,0.0,3.831,2.243,1.8325,-0.6114,-0.1956,1.0,0,0,1,0,0,0,0,4,175,59,84,17.06801007556675
9973,1,8,113753,113766,110,15,15,12193,100,127,1687,0,1,200,0.0024,0.4167,0.4,0.0066,0.6,1.0,1.0,2.0414,0.9542,1.1761,0.6,-0.1187,0.2469,0,0,0,0,0,0,1,0,7,13,27,3.6666666666666665
11096,959,973,1204128,1204136,116,27,24,12560,96,126,1372,0,1,40,0.6638,0.5249,0.9474,0.0132,0.7576,0.6,1.0,2.0645,1.2553,1.2553,0.0526,-0.1449,0.5659,0,0,0,0,0,1,0,2,14,8,30,2.2745098039215685
4000,41,212,2265307,2265372,6277,205,131,626256,43,124,1358,0,1,40,0.0605,0.4516,0.3943,0.1261,0.7295,0.7647,0.0,3.7911,2.233,1.8195,-0.6057,-0.1883,1.0,0,0,1,0,0,0,0,1,171,65,81,18.68154761904762
8610,1677,1686,1779008,1779024,80,17,17,4717,24,93,1692,1,0,70,0.0095,0.3175,0.5882,0.0059,0.5882,1.0,1.0,1.9031,1.0,1.2305,0.4118,-0.5816,0.2928,0,0,0,0,0,0,1,0,9,16,69,2.3529411764705883
1706,1448,1468,5367324,5367377,247,27,29,21582,86,116,1626,1,0,70,0.235,0.4524,0.5185,0.0083,0.4516,0.931,1.0,2.3927,1.1461,1.4314,0.4815,-0.241,0.6236,0,0,0,0,0,0,1,3,20,53,30,4.410714285714286
289,789,797,891060,891079,29,22,6,3489,105,127,1360,0,1,50,0.9808,0.5735,0.2353,0.0125,0.7727,0.6667,0.0,1.4624,1.2305,0.6021,-0.7647,-0.0777,0.1734,0,0,0,1,0,0,0,1,8,19,22,1.0357142857142858
3519,1039,1048,103914,103916,39,10,11,4642,109,141,1362,1,0,120,0.4823,0.3636,0.5454,0.0044,0.6,0.8182,1.0,1.5911,0.7782,1.0414,0.4545,-0.0702,0.1715,0,0,0,0,0,0,1,2,9,2,32,1.8571428571428572
3085,861,866,3094414,3094424,74,8,9,8586,104,132,1626,0,1,40,0.7541,0.0781,0.8889,0.0049,1.0,1.0,1.0,1.8692,0.9031,0.9542,0.1111,-0.1078,0.1773,0,0,0,0,0,0,1,3,5,10,28,4.352941176470588
18876,10,23,97132,97213,527,78,103,62357,91,127,1356,1,0,70,0.0118,0.3905,0.2094,0.0081,0.1183,1.0,1.0,2.7566,1.0414,1.7993,0.7906,-0.1535,0.9998,0,0,0,0,0,0,1,3,13,81,36,2.911602209944751
18258,1245,1254,3134228,3134249,113,19,11,12367,90,133,1362,1,0,70,0.4763,0.3636,0.9167,0.0088,0.6316,1.0,0.0,2.0531,1.0792,1.0414,-0.0833,-0.1247,0.2432,0,0,0,0,0,1,0,2,9,21,43,3.7666666666666666
15819,825,834,1147869,1147880,395,37,54,45269,115,135,1372,0,1,40,0.8297,0.5225,0.2813,0.0096,0.2093,0.9688,1.0,2.5966,1.1139,1.7324,0.7188,-0.034,0.9831,0,0,0,0,0,1,0,1,9,11,20,4.34065934065934
1896,1272,1285,1940686,1940699,35,11,11,4277,101,127,1358,0,1,40,0.2057,0.3636,0.6154,0.0036,0.4545,1.0,1.0,1.5441,0.699,1.0414,0.3846,-0.1161,0.1706,0,0,0,0,0,1,0,0,13,13,26,1.5909090909090908
18998,515,537,1025376,1025473,155,25,22,16498,106,134,1362,1,0,70,0.7463,0.6833,0.8,0.0154,0.72,0.7273,0.0,2.1931,1.3222,1.2041,-0.2,-0.0651,0.5296,0,1,0,0,0,0,0,4,22,97,28,3.297872340425532
18286,1611,1629,1772722,1772736,231,53,58,22191,71,94,1688,1,0,70,0.0495,0.5512,0.4837,0.0115,0.3962,0.9861,1.0,2.3636,1.1761,1.5441,0.5163,-0.3683,0.6868,0,0,0,0,0,1,0,1,18,14,23,2.081081081081081
16740,1031,1056,1951256,1951299,169,34,23,20993,112,132,1364,1,0,70,0.5802,0.6413,0.6087,0.0132,0.5294,0.8696,1.0,2.2279,1.2553,1.3617,0.3913,-0.0689,0.5329,0,0,0,0,0,1,0,3,25,43,20,2.9649122807017543
4562,780,804,2339660,2339663,202,29,18,22232,95,119,1362,0,1,40,0.8234,0.5249,0.9688,0.0125,0.6207,0.9688,1.0,2.3096,1.2305,1.2305,0.0313,-0.1705,0.6173,0,0,0,0,0,1,0,3,24,3,24,4.297872340425532
4322,621,632,5897947,5897955,78,20,14,8140,95,127,1650,1,0,69,0.9231,0.3162,0.5454,0.0053,0.5,1.0,1.0,1.8921,0.9542,1.1461,0.4545,-0.1497,0.257,0,0,0,0,0,1,0,3,11,8,32,2.2941176470588234
12156,19,28,1599135,1599173,105,18,28,14403,102,143,1358,1,0,70,0.0265,0.4086,0.2857,0.0052,0.3889,1.0,1.0,2.0212,0.8451,1.4472,0.7143,0.0015,0.3725,1,0,0,0,0,0,0,0,9,38,41,2.282608695652174
9350,1151,1172,1225386,1225405,104,20,18,9347,71,109,1356,1,0,40,0.2672,0.2917,0.5333,0.0088,0.5,1.0,1.0,2.017,1.0792,1.2553,0.4667,-0.2917,0.3509,0,0,0,0,0,1,0,3,21,19,38,2.736842105263158
1382,1251,1276,506783,506794,97,26,22,13345,114,133,1364,0,1,40,0.1336,0.5278,0.7,0.0147,0.7692,0.9091,1.0,1.9868,1.301,1.301,0.3,-0.0367,0.463,0,0,0,0,0,0,1,3,25,11,19,2.0208333333333335
6567,752,759,1837263,1837460,55,15,13,5361,81,127,1356,1,0,70,0.879,0.3222,1.0,0.0096,0.8,1.0,0.5,1.7404,1.1139,1.1139,0.0,-0.1742,0.2914,0,0,0,0,0,1,0,4,7,197,46,1.9642857142857142
12388,570,563,1733269,1733276,162,39,28,18671,115,141,1366,1,0,80,0.6572,0.4444,0.9167,0.0088,0.52,0.6875,0.0,2.2095,1.0792,1.1461,-0.0833,-0.0366,0.5951,0,0,0,0,0,1,0,4,-7,7,26,2.417910447761194
3023,39,226,1469673,1469845,16521,755,527,1992604,24,148,1398,0,1,40,0.0558,0.4898,0.4193,0.1327,0.2629,0.3288,0.0,4.218,2.2672,2.3032,-0.5806,-0.0577,1.0,0,0,1,0,0,0,0,2,187,172,124,12.886895475819033
9055,581,590,1775604,1775675,212,13,22,22532,102,134,1373,0,1,50,0.0941,0.3788,0.6087,0.0065,0.8461,1.0,1.0,2.3263,1.0414,1.3424,0.3913,-0.1183,0.3464,1,0,0,0,0,0,0,1,9,71,32,6.057142857142857
13832,980,992,435871,435883,135,15,15,15517,58,125,1690,0,1,70,0.5369,0.3576,0.9333,0.0071,0.8,0.9333,1.0,2.1303,1.0792,1.1461,0.0667,-0.2279,0.3509,0,0,0,0,0,1,0,1,12,12,67,4.5
2387,315,341,612662,612672,58,21,9,5942,116,140,1356,0,1,40,0.4632,0.4632,0.2105,0.014,0.9048,0.5556,0.0,1.7634,1.2787,0.699,-0.7895,-0.0034,0.1812,0,0,1,0,0,0,0,1,26,10,24,1.9333333333333333
13739,1495,1502,7275798,7275852,120,12,25,12872,110,127,1628,0,1,300,0.1493,0.2186,0.28,0.0047,0.6667,1.0,1.0,2.0792,0.9031,1.3979,0.72,-0.0735,0.2998,0,0,0,0,0,0,1,4,7,54,17,3.2432432432432434
16367,158,168,1074269,1074276,66,14,10,7519,97,125,1358,1,0,70,0.1431,0.2556,0.8,0.0074,0.7143,1.0,0.0,1.8195,1.0,1.0,-0.2,-0.1234,0.1852,0,0,0,0,0,0,1,2,10,7,28,2.75
18146,1308,1314,2629644,2629668,80,17,21,6684,95,117,1353,0,1,70,0.0768,0.5629,0.381,0.0065,0.6471,1.0,1.0,1.9031,0.9542,1.2305,0.6191,-0.1819,0.2901,0,0,0,0,0,0,1,1,6,24,22,2.1052631578947367
12375,1065,1078,830707,830795,208,15,21,26321,97,133,1690,1,0,70,0.4144,0.3287,0.5714,0.0071,0.8,1.0,1.0,2.3181,1.0792,1.3222,0.4286,-0.1448,0.417,0,0,0,0,0,0,1,0,13,88,36,5.777777777777778
10841,614,622,2183073,2183084,83,16,12,9155,78,125,1364,1,0,70,0.9337,0.2828,0.9167,0.0081,0.6875,0.9167,1.0,1.9191,1.0414,1.0414,0.0833,-0.2288,0.2432,0,0,0,0,0,0,1,2,8,11,47,2.9642857142857144
8369,507,517,11569824,11569844,54,14,12,6483,105,132,1360,0,1,40,0.6166,0.49,1.0,0.0074,0.7143,1.0,0.5,1.7324,1.0,1.0,0.0,-0.088,0.2061,0,0,0,0,0,0,1,0,10,20,27,2.076923076923077
539,0,14,675316,675327,111,28,11,11979,84,127,1692,1,0,100,0.0,0.4545,0.7059,0.0184,0.8571,0.9167,0.0,2.0453,1.3979,1.0414,-0.2941,-0.1743,0.3419,0,0,0,0,0,0,1,2,14,11,43,2.8461538461538463
7040,1037,1055,4348498,4348516,196,59,37,22581,110,143,1692,1,0,143,0.6972,0.6813,0.5294,0.0272,0.5405,0.5172,0.0,2.2967,1.6532,1.1761,-0.4706,-0.0124,0.7281,0,0,0,0,0,0,1,1,18,18,33,2.0416666666666665
4001,154,169,289647,289665,67,42,4,9556,109,143,1360,0,1,40,0.2289,0.0,0.05,0.0237,1.0,0.5,0.0,1.8261,1.6021,0.301,-0.95,-0.0112,0.1852,0,0,0,0,0,0,0,4,15,18,34,1.4565217391304348
6905,1244,1251,115485,115504,169,20,28,19591,114,135,1362,0,1,40,0.0948,0.3214,0.3214,0.0053,0.65,1.0,1.0,2.2279,0.9542,1.4472,0.6786,-0.0224,0.385,0,0,0,0,0,0,1,0,7,19,21,3.5208333333333335
5797,1575,1590,260124,260136,124,18,21,13678,77,109,1690,1,0,70,0.1111,0.3111,0.7,0.0089,0.8333,0.9524,1.0,2.0934,1.1761,1.301,0.3,-0.2769,0.3663,0,0,0,0,0,0,1,3,15,12,32,3.1794871794871793
17210,621,632,657468,657502,585,62,134,68470,85,127,1364,0,1,100,0.1165,0.4022,0.1336,0.0081,0.2105,1.0,1.0,2.7672,1.0414,2.1239,0.8642,-0.1712,1.0,1,0,0,0,0,0,0,4,11,34,42,2.9846938775510203
17607,861,866,1301932,1301945,17,4,5,2198,110,134,1358,0,1,50,0.8809,0.3333,0.5,0.0059,1.0,1.0,0.0,1.2305,0.9031,0.699,-0.5,-0.0658,0.1417,0,0,0,1,0,0,0,4,5,13,24,1.8888888888888888
3313,754,772,9754896,9754906,60,16,8,5857,109,134,1372,0,1,40,0.8532,0.3444,0.9,0.0096,0.8125,1.0,0.0,1.7781,1.1139,0.9031,-0.1,-0.0851,0.1954,0,0,0,0,0,1,0,1,18,10,25,2.5
5777,1252,1348,4680348,4680372,347,44,9,61966,61,159,1687,1,0,80,0.2106,0.5322,0.2222,0.0213,0.9048,0.6667,0.0,2.5403,1.5563,1.0792,-0.7778,-0.0124,0.9546,0,0,0,0,0,0,1,1,96,24,98,6.547169811320755
12870,7,19,828904,828914,170,18,16,16645,112,132,1658,1,0,100,0.0354,0.2571,0.75,0.0072,0.7778,0.9375,1.0,2.2304,1.0792,1.2041,0.25,-0.0576,0.3241,0,0,0,0,0,1,0,2,12,10,20,5.0
1107,808,816,86285,86296,74,11,11,11431,161,182,1387,0,1,40,0.7345,0.2525,0.8182,0.0066,0.8182,1.0,1.0,1.8692,0.9542,1.0414,0.1818,0.338,0.2051,0,0,1,0,0,0,0,2,8,11,21,3.3636363636363638
7012,79,88,1009978,1009999,81,15,12,8063,91,126,1356,1,0,70,0.5325,0.3636,0.8182,0.0081,0.7333,0.9167,0.0,1.9085,1.0414,1.0414,-0.1818,-0.1433,0.2051,0,1,0,0,0,0,0,0,9,21,35,3.0
10314,41,212,1626575,1626636,6172,266,140,648030,43,125,1356,0,1,40,0.0605,0.4858,0.4,0.1259,0.6391,0.4615,0.0,3.7904,2.233,1.699,-0.6,-0.1913,1.0,0,0,1,0,0,0,0,1,171,61,82,15.201970443349754
13010,995,1009,1846280,1846289,55,13,10,6782,96,124,1688,1,0,70,0.8331,0.3131,0.7273,0.0065,0.8461,0.9,0.0,1.7404,1.0414,0.9542,-0.2727,-0.1353,0.1934,0,0,0,0,0,1,0,2,14,9,28,2.391304347826087
13817,625,631,1934306,1934337,137,9,25,15147,102,126,1366,0,1,100,0.9135,0.3265,0.28,0.0052,0.7778,1.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1175,0.2998,0,0,0,0,0,0,1,0,6,31,24,4.029411764705882
